job_id,title,role,company,location,country,work_type,company_size,experience,qualifications,salary,description,responsibilities,skills,benefits,sector,industry,posting_date,portal,source,external_url
5695268202,Software Engineer,Software Engineer,Costco,"Hyderabad, Telangana",IN,,,,,,"About Costco Wholesale: Costco Wholesale is a multi-billion-dollar global retailer with warehouse club operations in eleven countries. They provide a wide selection of quality merchandise, plus the convenience of specialty departments and exclusive member services, all designed to make shopping a pleasurable experience for their members. About Costco Wholesale India: At Costco Wholesale India, we foster a collaborative space, working to support Costco Wholesale in developing innovative solution…",,[],[],,IT Jobs,2026-04-10T09:38:53Z,Adzuna,adzuna,https://www.adzuna.in/land/ad/5695268202?se=BlCd64U58RGc9_1NsXJydQ&utm_medium=api&utm_source=763b212a&v=CC65F254DABFB498B799A4A9147E2F87FB45815A
5632722947,Software Engineer,Software Engineer,Ferguson,"Bangalore, Karnataka",IN,,,,,,"JOB FUNCTION: The Information Technology job family acquires, designs, implements, and operates the organization's information technology resources, including computer hardware, operating systems, communications, software applications, data processing and security. General areas of responsibility include developing information technology strategies, policies and plans; managing the implementation, maintenance, and use of information technology resources; and training and supporting technology u…",,[],[],,IT Jobs,2026-02-17T09:38:58Z,Adzuna,adzuna,https://www.adzuna.in/land/ad/5632722947?se=BlCd64U58RGc9_1NsXJydQ&utm_medium=api&utm_source=763b212a&v=16495B97FC3714FE723A2DE758DE781724B3FFBD
5579979838,"Manager, Software Engineering","Manager, Software Engineering",TMUS Global Solutions,"Hyderabad, Telangana",IN,,,,,,"Manager, Software Engineering Platform/Ingestion (L07) About the Role: Manager, Software Engineering leads a team of software developers responsible for building and maintaining systems, platforms, and tools that support critical business operations. This role manages the development and delivery of software solutions for both internal and external business customers. The Manager partners with technology and product leaders to define technical strategies that align with organizational goals. Su…",,[],[],,IT Jobs,2026-01-12T06:13:54Z,Adzuna,adzuna,https://www.adzuna.in/land/ad/5579979838?se=BlCd64U58RGc9_1NsXJydQ&utm_medium=api&utm_source=763b212a&v=9223F055547DF735923E60216D66A89780C3DA75
5577083868,"Manager, Software Engineering","Manager, Software Engineering",TMUS Global Solutions,"Hyderabad, Telangana",IN,,,,,,"Manager, Software Engineering Governance (L07) About the Role: Manager, Software Engineering leads a team of software developers responsible for building and maintaining systems, platforms, and tools that support critical business operations. This role manages the development and delivery of software solutions for both internal and external business customers. The Manager partners with technology and product leaders to define technical strategies that align with organizational goals. Success is…",,[],[],,IT Jobs,2026-01-10T06:12:34Z,Adzuna,adzuna,https://www.adzuna.in/land/ad/5577083868?se=BlCd64U58RGc9_1NsXJydQ&utm_medium=api&utm_source=763b212a&v=5FD2BD3006E84B602A1AAD2DA7295669F9F86201
5681941694,Telecommunications Software Engineer,Telecommunications Software Engineer,Xtel,India,IN,,,,,,"Company Description XTel is a next-generation telecommunications company delivering cloud-based communication solutions for modern businesses. Our platform enables companies to manage virtual phone systems seamlessly across mobile and web environments, eliminating the need for traditional hardware. Powered by advanced technologies including Twilio APIs, real-time webhooks, and scalable cloud infrastructure , XTel provides intelligent communication features such as call forwarding, voicemail-to-…",,[],[],,IT Jobs,2026-03-29T09:51:23Z,Adzuna,adzuna,https://www.adzuna.in/land/ad/5681941694?se=BlCd64U58RGc9_1NsXJydQ&utm_medium=api&utm_source=763b212a&v=ABD97520A8AE294EDC62E2C793883EE61EA3A553
5050242916,Software Engineering Advisor,Software Engineering Advisor,Evernorth,"Hyderabad, Telangana",IN,,,,,,"About Evernorth: Evernorth Health Services, a division of The Cigna Group (NYSE: CI), creates pharmacy, care, and benefits solutions to improve health and increase vitality. We relentlessly innovate to make the prediction, prevention, and treatment of illness and disease more accessible to millions of people. Software Engineering Advisor Position Overview: The job profile for this position is Software Engineering Advisor, which is a Band 4 Contributor Career Track Role. Excited to grow your car…",,[],[],,IT Jobs,2025-02-15T03:31:56Z,Adzuna,adzuna,https://www.adzuna.in/land/ad/5050242916?se=BlCd64U58RGc9_1NsXJydQ&utm_medium=api&utm_source=763b212a&v=CBB9F37D8070C94CDFAE9DF1CA2A718C1BC1EF24
5701283234,Software Engineer & Automation,Software Engineer & Automation,Evvolve & Partners,India,IN,,,,,,"The Opportunity Evvolve & Partners is a financial advisory firm operating across North America, Europe, and the Middle East. We are building internal tools and custom platforms that power how our team operates day to day. We move fast, we build things that get used, and we care deeply about the quality of what we ship. We are looking for an Automation & Software Engineer to join us remotely and take full ownership of the technical side of our internal stack. What you will be working on Designin…",,[],[],,IT Jobs,2026-04-16T15:12:58Z,Adzuna,adzuna,https://www.adzuna.in/land/ad/5701283234?se=BlCd64U58RGc9_1NsXJydQ&utm_medium=api&utm_source=763b212a&v=7E9D53064D1A5AB1F8D49A4150FA7CA3A69E1C03
5699972620,Software Engineer in Test,Software Engineer in Test,Worldline Global Services,India,IN,,,,,,"Title: Software Development Engineer in Test (SDET) This is Worldline. Worldline helps businesses of all shapes and sizes to accelerate their growth journey - quickly, simply, and securely. We are the innovators at the heart of the payments technology industry, shaping how the world pays and gets paid. Our technology powers the growth of millions of businesses across 5 continents. And just as we help our customers accelerate their business, we are committed to helping our people accelerate thei…",,[],[],,IT Jobs,2026-04-15T15:08:08Z,Adzuna,adzuna,https://www.adzuna.in/land/ad/5699972620?se=BlCd64U58RGc9_1NsXJydQ&utm_medium=api&utm_source=763b212a&v=1F5845BEF8D140903F7E42B41C52E9AED321EB3F
5574907102,"Manager, Software Engineering","Manager, Software Engineering",TMUS Global Solutions,"Hyderabad, Telangana",IN,,,,,,"Job Summary: This role leads ( Workday Functional and Integration ) teams of Software Developers, SDETs, Product Owners, and Scrum Masters to build and maintain systems, platforms, and tools that support business operations. It manages the development and delivery of software solutions for internal and external business customers. The role involves creating technical strategies in collaboration with technology and product partners to align with organizational goals. Success is measured by timel…",,[],[],,IT Jobs,2026-01-09T06:12:34Z,Adzuna,adzuna,https://www.adzuna.in/land/ad/5574907102?se=BlCd64U58RGc9_1NsXJydQ&utm_medium=api&utm_source=763b212a&v=6B496D5F5BAB7B4378DE134679841CD240594A4C
5701282661,Software Engineer Intern,Software Engineer Intern,Joveo Ai,India,IN,,,,,,"We're Hiring ""Software Engineer Intern (Freelance/Remote)"" | Earn up to $2500 per month Locatio n: India (Remote) What You Will Be Doing: Contribute to training and refining cutting-edge AI systems Adopt a “user mindset” to produce natural and realistic data for AI development Develop rubrics to structure and address user needs effectively Evaluate AI-generated outputs by ranking, reviewing, and critiquing reasoning and problem-solving responses Work across multiple projects based on skillset a…",,[],[],,IT Jobs,2026-04-16T15:12:16Z,Adzuna,adzuna,https://www.adzuna.in/land/ad/5701282661?se=BlCd64U58RGc9_1NsXJydQ&utm_medium=api&utm_source=763b212a&v=71AAAAF4CDC2DDE80DFF00DF092B53EAFFFBF1C0
